id,title,summary,gender,min_age,max_age
NCT01001013,Pharmacokinetic Drug Interaction Between LC15-0444 and Pioglitazone After Oral Administration in Healthy Male Subjects,"
      The objective of the study is to investigate the drug interaction between LC15-0444 and
      pioglitazone by comparing the safety, tolerability and pharmacokinetics of LC15-0444 and
      pioglitazone are administered concomitantly and each alone in healthy male subjects.
    ",Male,20 Years,45 Years
NCT01001247,TMC278-TiDP6-C154: Evaluation of the Possible Influence of Omeprazole Intake - and the pH Increase in the Stomach Triggered by Omeprazole Intake - on the Blood Levels of TMC278 in Healthy Volunteers,"
      The purpose of this study is to investigate the extent by which intake of 20 mg once daily
      (q.d.) omeprazole influences the levels of TMC278 in the blood after intake of 25 mg q.d..
      This study also investigates - in case levels of TMC278 are reduced when co-administered with
      omeprazole - whether a double dose of TMC278 (50 mg q.d.) or a separation of intake of both
      drugs by 12 hours may circumvent a decrease of TMC278 levels in the blood below the clinical
      effective concentration. Omeprazole is prescribed to reduce the production of gastric acid.
      Since TMC278 requires gastric acid to be properly dissolved and taken up in the blood
      circulation, intake of omeprazole has an influence on the levels of TMC278 in the blood
      circulation. This effect has been revealed in a previously conducted clinical trial, using
      the combination of 150 mg TMC278 q.d. and 20 mg q.d. omeprazole. The currently proposed study
      will also further explore the relationship between the levels of TMC278 in the blood at
      several time points and the acidity of the stomach. Also the short-term safety and
      tolerability of co-administration of omeprazole 20 mg q.d. and TMC278 25 mg q.d. will be
      assessed.
    ",All,18 Years,55 Years
NCT01001299,A Pharmacokinetic Study of RO5185426 in Combination With a Drug Cocktail in Patients With Metastatic Melanoma,"
      This open-label single-arm study will evaluate the effect of RO5185426 [RG7204; PLEXXIKON:
      PLX4032] on the pharmacokinetics of five CYP450 substrates (caffeine, warfarin + vitamin K,
      omeprazole, dextromethorphan, midazolam) administered as a drug cocktail to patients with
      metastatic melanoma. The study will also evaluate efficacy and safety of RO5185426. On day 1,
      patients will receive the drug cocktail. On days 6 to 19, patients will receive RO5185426
      twice daily. On day 20, patients will receive RO5185426 and the drug cocktail and on days 21
      to 25, patients will receive RO5185426. Assessments will be made at regular intervals during
      the dosing periods and at follow-up. Patients may continue on study treatment (RO5185426)
      until the development of progressive disease or unacceptable toxicity. Target sample size
      <50.
    ",All,18 Years,N/A
NCT01001338,Allopurinol Combination Study,"
      To compare the proportion of subjects whose serum urate (sUA) levels are < 6.0 mg/dL
      following 4 weeks of continuous treatment of RDEA594 in combination with allopurinol to
      allopurinol alone in subjects with documented inadequate hypouricemic response with standard
      doses of allopurinol.
    ",All,18 Years,80 Years
NCT01001546,Internet-Based Smoking Cessation for Operations Enduring Freedom and Iraqi Freedom (OEF/OIF) Veterans,"
      The overarching aim of the study is to evaluate in a randomized trial the impact of an
      internet intervention compared to a standard clinic-based control group to promote smoking
      cessation among Operation Enduring Freedom and Operation Iraqi Freedom (OEF/OIF) veterans.
    ",All,18 Years,N/A
NCT01001572,Efficacy and Safety of Valsartan/Amlodipine in Patients With Mild to Moderate Essential Hypertension,"
      This study assessed the efficacy and safety of the valsartan/amlodipine 160/5 mg single-pill
      combination in patients with uncomplicated essential hypertension not adequately controlled
      (MSDBP ≥90 mmHg and <110 mmHg) on valsartan 160 mg alone.
    ",All,18 Years,85 Years
NCT01001585,Anesthetic Effects in Mitochondrial Disease,"
      Summary. At the present, the investigators do not have the perfect anesthetic for
      mitochondrial patients. When possible, consideration should be given to the use of local
      anesthetics in small amounts. When a general anesthetic is necessary, they each carry
      significant risks and have been associated with poor outcomes. At present it is not possible
      to eliminate one group as less safe than others. What is clear is that these patients must be
      monitored more closely than other patients. The advent of the bispectral index (BIS) monitor
      may allow us to monitor their depth of anesthesia more closely and thus expose these patients
      only to the minimum amount of drug necessary to carry out the surgical procedure.

      Purpose. The investigators hypothesize that specific mitochondrial diseases, in particular
      those that decrease complex I function, make certain children hypersensitive to volatile
      anesthetics. These same patients may be at increased risk for adverse outcomes following
      general anesthesia. The specific aims of this application are:

        1. Determine which molecular defects in mitochondrial function lead to alter sensitivity to
           the VA sevoflurane.

        2. Establish the relative safety of sevoflurane in treatment of patients with mitochondrial
           disease.

      The investigators plan to monitor patients with mitochondrial disease using expanded measures
      of cardiovascular stability and measurements of brain electrical activity while slowly
      inducing general anesthesia. The investigators will use those measurements to limit the
      amount of anesthetic these patients receive in an attempt to minimize their risk. In
      addition, the investigators will correlate their sensitivity to the type of mitochondrial
      defect so that the investigators may be able to predict which patients are likely to have an
      increased sensitivity.
    ",All,12 Months,16 Years
NCT01001689,Fit For Delivery: A Study of the Effect of Exercise Sessions and Nutritional Counselling on Pregnancy Outcome,"
      ""Fit for Delivery"" is a randomized, controlled study to examine the effects of an
      intervention during pregnancy which consists of exercise groups and nutritional counselling.
      The investigators will assess the outcomes of gestational weight gain, postpartum weight
      retention, large newborns, glucose regulation, and the incidence of complications of
      pregnancy and delivery such as gestational diabetes and Cesarean section.
    ",Female,N/A,N/A
NCT01001715,Single Injection of REGN475/SAR164877 in Treatment of Vertebral Fracture Pain,"
      Primary objective was to demonstrate the activity of REGN475/SAR164877 in reducing the pain
      associated with vertebral fracture.

      Secondary objectives were:

        -  to assess the safety and tolerability of REGN475/SAR164877 in patients with vertebral
           fracture pain;

        -  to characterize the pharmacokinetic and immunogenicity profiles of REGN475/SAR164877 in
           this population.
    ",All,40 Years,80 Years
NCT01001741,Pilot Study of Text Message Reminders to Improve HIV Medication Adherence in Botswana,"
      While medication adherence is critical to successful treatment of HIV, there are few studies
      of interventions demonstrating improvements in adherence. This may be a particular challenge
      in the developing world, which has a larger burden of HIV but fewer resources than
      industrialized countries. The investigators propose a randomized controlled trial of cellular
      phone text message reminders to improve medication adherence. Our pilot study will be set in
      a large HIV clinic in Gaborone, Botswana, where Penn researchers have collaborated on
      research projects in the past. The primary study outcome will be antiretroviral medication
      adherence.
    ",All,21 Years,N/A
NCT01001754,Efficacy and Safety Study of PEG-rIL-29 Plus Ribavirin to Treat Chronic Hepatitis C Virus Infection,"
      Interleukin 29 (IL-29) is a substance that is produced in the body to help fight viral
      infections. The purpose of this study is to evaluate the safety and antiviral effects of
      several different doses of PEG-rIL-29 (a man-made form of IL-29) when it is given in
      combination with daily oral doses of ribavirin (an antiviral drug) to subjects with hepatitis
      C infection who have received no prior treatment for this disease.
    ",All,18 Years,70 Years
NCT01001780,"Pentostatin, Cyclophosphamide Plus Rituximab (PCR) for the Therapy of Poor-Prognosis Chronic Graft-Versus-Host Disease","
      Chronic graft-versus-host disease (GvHD) is a severe, life threatening complication from
      getting a bone marrow or stem cell transplant. It is caused by certain cells from the donor
      that attack your cells. The usual treatments, prednisone and cyclosporine, don't work very
      well in chronic GVHD.

      This research is being done to determine if the combination of the chemotherapeutic and
      immunosuppressive, drugs pentostatin, cyclophosphamide and the monoclonal antibody rituximab,
      used as in the ""PCR"" combination will prove useful in the treatment of certain patients with
      chronic GvHD (namely those who are unlikely to respond to standard therapy).
    ",All,18 Years,N/A
NCT01001806,"A Comparison of Peak Aqueous Penetration of Acuvail (Ketorolac 0.45%), Xibrom (Bromfenac 0.09%), and Nevanac (Nepafenac 0.1%)in Patients Undergoing Phacoemulsification","
      Approximately 126 subjects scheduled to undergo cataract surgery by phacoemulsification, will
      be randomized in an even allocation (1:1:1) to either Acuvail, Xibrom, or Nevanac. Subjects
      will be instructed to begin dosing the study medication in the operative eye the day before
      surgery and continue dosing on the day of surgery. Beginning one hour before surgery, 1 drop
      of study medication will be instilled by operating room staff approximately every 15 minutes
      for a total of 3 doses. At the designated time a paracentesis will be performed at the start
      of the cataract procedure and at least 0.15 cc of aqueous humor will be collected. The sample
      will be immediately stored on dry ice and shipped to a laboratory for analysis.
    ",All,18 Years,N/A
NCT01002157,The Effects of Vitamin K2 Supplementation on the Progression of Coronary Artery Calcification,"
      Both Coronary Artery Calcification (CAC)and its annual progression are a strong predictors of
      cardiovascular events. The development of arterial calcification results from imbalance
      between calcification promoting and inhibiting factors. An important inhibitor of
      calcification is Matrix Gla Protein (MGP): a protein present in the vascular wall where it is
      synthesized by Vascular Smooth Muscle Cells (VSMC). MGP requires Vitamin K-mediated
      carboxylation to function properly. Deficiency of Vitamin K has been demonstrated to cause
      arterial calcification and a diet containing large amounts of Vitamin K2 was associated with
      lower CAC and cardiovascular risk. In animal studies, active supplementation of Vitamin K2
      caused regression of existing arterial calcification. Therefore, the aim of this randomized,
      double-blind, placebo-controlled clinical trial is to investigate whether daily
      supplementation of Vitamin K2 (Menaquinone-7) to patients with established CAC will lead to a
      decreased progression-rate of CAC after 24 months of follow-up in comparison to placebo.
    ",All,18 Years,N/A
NCT01002209,Postoperative Hyperbaric Oxygen Treatments to Reduce Complications in Diabetic Patients Undergoing Vascular Surgery,"
      This trial aims to evaluate if hyperbaric oxygen treatment (HBO) given postoperatively is
      effective in reducing healing time and wound complications after lower extremity bypass
      surgery in patients with diabetes.

      Hypothesis: Postoperative HBO treatment is effective in reducing complications in patients
      with diabetes undergoing peripheral vascular surgery
    ",All,N/A,N/A
NCT01002274,Open-Label Extension Study of MCS-2 in the Treatment of Lower Urinary Tract Symptoms,"
      This is an open-label extension study of another study protocol, MCS-2-TWN-a. Subjects who
      have completed the 12-week treatment and procedures under the protocol MCS-2-TWN-a will be
      eligible for this study.
    ",Male,40 Years,N/A
NCT01002430,EndocardialVascularEndothelialGrowth Factor D(VEGF-D)Gene Therapy for the Treatment of Severe Coronary Heart Disease,"
      The purpose of the study is to evaluate the safety and efficacy of catheter mediated
      endocardial adenovirus VEGF-D gene therapy in patients with severe coronary heart disease.
    ",All,30 Years,80 Years
NCT01002469,Study to Evaluate 13 C Isotope Ratio Measurement for Urea Cycle Capacity Assessment,"
      In this short-term study a method for the evaluation of the metabolic competency of the urea
      cycle in vivo will be assessed. In order to monitor the efficacy of new treatment options for
      patients with urea cycle disorders and to monitor the severity of the disease, a reliable and
      safe quantitative method for the measurement of the urea cycle flux is required.

      Urea synthesis will be evaluated by administering sodium [1-13C]-acetate and measuring
      subsequent incorporation of [13C] label from Na-acetate into urea in healthy volunteers and
      asymptomatic subjects genetically disposed to urea cycle disorders.
    ",All,18 Years,50 Years
NCT01002560,The Identification of Novel Prognostic Markers in Melanoma,"
      The purpose of this project is to analyze tumour tissue from a group of subjects with
      malignant melanoma, who have been treated at the Royal Marsden Hospital.
    ",All,N/A,N/A
NCT01002664,Efficacy and Safety of MCS-2 in the Treatment of Lower Urinary Tract Symptoms,"
      The hypothesis of the study is to examine whether MCS-2 is safe and effective in the
      treatment of lower urinary tract symptoms suggestive of benign prostatic hyperplasia.
    ",Male,40 Years,N/A
NCT01003119,Computer-Based Alcohol Use Disorder Recovery System,"
      The purpose of this grant is to develop and test a proven computer based quality
      improvement/behavior change e-Health system (CHESS--Comprehensive Health Enhancement Support
      System) to help prevent relapse in alcohol dependent patients being discharged from
      residential treatment. The investigators' primary hypothesis is that ACHESS (Addiction CHESS)
      will improve competence, relatedness and autonomy, which will reduce the days of risky
      drinking over a 12-month period.
    ",All,18 Years,N/A
NCT01003158,Study Assessing Safety and Tolerability of AZD8931 Alone or in Combination With Paclitaxel in Japanese Patients.,"
      The main purpose of this study is to determine if AZD8931 can be safely administered in
      Japanese patients alone and in combination with weekly paclitaxel. The study will be
      conducted in two parts: a monotherapy and a combination part, where safe doses of study
      treatment will be determined.
    ",All,20 Years,N/A
NCT01003431,A Study of the Immunogenicity and Safety of Whole-Cell Pertussis Containing Vaccine Administered Concomitantly With RotaTeq™ (V260) or Rotarix™ (V260-036)(WITHDRAWN),"
      This study will evaluate the immunogenicity and safety of the pertussis component of DTwP
      (whole-cell pertussis containing vaccine) when administered concomitantly with RotaTeq™ or
      Rotatrix™.
    ",All,6 Weeks,12 Weeks
NCT01003509,"A New Approach in Inguinal Hernia Repair: Double Repair. A Prospective, Randomized, Controlled Clinical Trial","
      This is a new inguinal hernia repair technique.
    ",All,16 Years,90 Years
NCT01003561,Hemodynamic Changes of Upper and Lower Extremities After Spinal Anesthesia,"
      The aim of this study is to evaluate the changes of venous flow, volume, and resistance in
      upper (basilic v.) and lower (popliteal v.) extremities of the elderly healthy patients
      compared with elderly hypertensive patients who undergoing spinal anesthesia for
      transurethral prostatectomy.
    ",Male,65 Years,N/A
NCT01003951,Acupuncture for the Treatment of Chronic Lymphedema,"
      Lymphedema is an accumulation of lymphatic fluid in the tissues that causes swelling, most
      often in the arms and/or legs, and occasionally in other parts of the body. Lymphedema can
      occur when lymph vessels are damaged or lymph nodes are removed. Lymphedema can develop right
      after breast cancer treatment or weeks, months, or even years later. For many people,
      available treatments for lymphedema are not effective. Recent evidence suggests that
      acupuncture may help reduce the symptoms of lymphedema. The purpose of this study is to
      determine the effects of acupuncture on chronic lymphedema. This study will look further at
      whether acupuncture can reduce lymphedema and help us to understand immune changes that may
      be associated with improvements in lymphedema.
    ",Female,18 Years,N/A
NCT01004198,Phase IIa Study of MP4OX in Traumatic Hemorrhagic Shock Patients,"
      MP4OX is a novel oxygen therapeutic agent specifically developed to perfuse and oxygenate
      tissue at risk for ischemia and hypoxia. MP4OX is a pegylated hemoglobin-based colloid and
      and as a result of its molecular size and unique oxygen dissociation characteristics, targets
      oxygen delivery to ischemic tissues by selectively off-loading oxygen in tissues predisposed
      to low oxygen tension. Sangart is currently evaluating MP4OX to reduce organ dysfunction and
      failure in trauma patients with lactic acidosis due to severe hemorrhagic shock.
    ",All,18 Years,80 Years
NCT01004211,Prospective Randomized Comparison of Transurethral Resection by Mean of White Light and Narrow Band Imaging,"
      To date, fluorescence and narrow band imaging cystoscopy have been tested in many prospective
      within patient trials but only as an ""add on"" procedure. This results in a bias that does not
      allow to determine the real impact of such innovative technologies on bladder cancer
      management. Hereby we propose the first prospective randomized trial which compares narrow
      band imaging trans urethral resection as a stand alone procedure versus white light
      transurethral resection. The primary end point is to assess the recurrence rate of bladder
      cancer lesions with each treatment modality. The study is designed to disclose an inferior
      recurrence rate (estimated 10%) in the group treated by narrow band imaging transurethral
      resection respect to the control group, treated by standard transurethral resection.
    ",All,18 Years,N/A
NCT01004263,A Study to Evaluate the Safety and Tolerability of Rizatriptan for Long Term Treatment of Acute Migraine in Children and Adolescents (MK-0462-086 AM3),"
      To provide long term safety data for rizatriptan in children and adolescents. The primary
      hypothesis of the study is that rizatriptan is well tolerated in the long term treatment of
      acute migraine in pediatric patients age 12-17 years.
    ",All,12 Years,17 Years
NCT01004276,Increasing Smoking Cessation Counselling in Primary Care Using a Chronic Disease Management System,"
      This pilot study will determine the feasibility of studying a new smoking cessation
      management module in an existing chronic disease management system. The new module is
      intended to help healthcare providers deliver more smoking cessation counselling to their
      patients.
    ",All,N/A,N/A
NCT01004458,Cognitive Behavioral Therapy Trial in Fibromyalgia,"
      Previous studies have shown that the disorder fibromyalgia often is preceded by long-term
      stress. Moreover, an association has been shown between stress, pain and co-morbidity in
      these patients. Cognitive behavioral therapy (CBT) has been shown effective in reducing
      stress, anxiety and pain in rheumatoid arthritis and fibromyalgia. The purpose of the present
      trial was to assess whether CBT may reduce pain and other symptoms and increase well-being
      and general function, affect biological markers for pain and long-term stress, to a larger
      extent than treatment ""as usual"".

      Forty eight women with verified fibromyalgia were randomly allocated to an early treatment
      group or a waiting list group. The early treatment group received CBT group treatment during
      six months. Measurements of outcome and potential outcome affecting variables were made at
      baseline, after six months and one year after baseline. The waiting list group received the
      same CBT treatment as the early treatment group after six months on the waiting list.

      The design is thus a traditional ""waiting list design"", allowing a two parallel group
      comparison during the first six months and a ""before-after"" analysis in both groups when the
      treatment was concluded.
    ",Female,18 Years,65 Years
NCT01004497,First-line Dasatinib Plus Conventional Chemotherapy in Adults With Newly Diagnosed Ph-Positive ALL,"
      The main aim of the present study is to evaluate the clinical efficacy of first-line
      dasatinib plus conventional chemotherapy for newly diagnosed Ph-positive acute lymphoblastic
      leukemia. In this study, the investigators will analyze the clinical outcomes for entire
      patient population as well as those for transplants, respectively. In addition, the results
      of this study will be compared to those of the investigators current study (imatinib plus
      conventional chemotherapy). The safety of this treatment will also be studied.
    ",All,15 Years,65 Years
NCT01004510,Zometa Adjuvant Treatment of Malignant Pleural Effusion Due To Non-Small Cell Lung Cancer,"
      The purpose of this study is to evaluate whether the addition of the bisphosphonate Zometa
      (zoledronic acid) used along with standard regimens of chemotherapy, will help to control the
      need for palliative intervention of malignant pleural effusions due to non-small cell lung
      cancer.
    ",All,18 Years,N/A
NCT01004523,Study of Tissue and Blood Samples From Patients With Low-Grade Glioma,"
      RATIONALE: Studying samples of tumor tissue and blood from patients with cancer in the
      laboratory may help doctors learn more about changes that occur in DNA and identify
      biomarkers related to cancer. It may also help doctors predict how patients will respond to
      treatment.

      PURPOSE: This research study is looking at tissue and blood samples from patients with
      low-grade glioma.
    ",All,N/A,N/A
NCT01004627,A Study of Routine Versus Selective Use of Ultrasound Scanning Prior to Haemodialysis Fistula Surgery,"
      Dialysis patients have their blood filtered by a machine as their kidneys no longer work. To
      get blood in and out of these patients it is possible to perform a surgical procedure to
      increase to size and durability of a vein in the arm to allow repeated needle insertion. This
      enlarged vein is called a fistula. There is some evidence that ultrasound scanning the blood
      vessels in the arm before surgery can improve the chances of a successful procedure. The
      investigators aim to test whether scanning all patients is better than scanning only those
      who are difficult to assess by physical examination alone.
    ",All,18 Years,N/A
NCT01004640,Study of Blood and Bone Marrow Samples in Patients With Chronic Myelogenous Leukemia Enrolled on a CALGB Clinical Trial,"
      RATIONALE: Studying samples of blood and bone marrow from patients with cancer may help
      doctors identify biomarkers related to cancer.

      PURPOSE: This research study is looking at blood and bone marrow samples in patients with
      chronic myelogenous leukemia enrolled on a CALGB clinical trial.
    ",All,N/A,N/A
NCT01005225,Genetic Investigation of Solid Tumors Cohort,"
      The objective of this study is to obtain blood samples, solid tumor and/or benign hyperplasia
      samples to learn more about genetic differences that are linked to the formation of solid
      tumors.
    ",All,18 Years,N/A
NCT01005342,Influence of Dietary Fiber-rich Meals on Gene Expression and Postprandial Glucose and Lipid Response,"
      The aim of this study is to

        -  Measure the effect on gene expression in leukocytes from a meal rich in oat bran

        -  Investigate the postprandial glucose, insulin and triglyceride responses after intake of
           meals containing fiber from different sources (oat, rye and sugar beet fiber) or a meal
           containing a mixture of these three fibers
    ",All,20 Years,65 Years
NCT01005381,Effect of Calcium Supplement Particle Size and Vitamin D Supplement on Calcium Retention in Adolescent Girls,"
      This study has two research arms:

      The purpose of the 1st is to determine if a smaller particle size calcium carbonate
      supplement (than that which is now commercially available) improves calcium absorption and
      retention in adolescents girls.

      The purpose of the 2nd is to determine if vitamin D supplementation improves calcium
      absorption and retention in adolescents girls.
    ",Female,12 Years,14 Years
NCT01005394,Navigated Transcranial Magnetic Stimulation in Monitoring Stroke Recovery,"
      The past 10 years of research in persons more than 6 months post stroke have shown certain
      types of rehabilitation can help ""re-wire"" the brain. Transcranial magnetic stimulation (TMS)
      can be used to monitor this re-wiring by mapping the brain's function (measuring brain
      activity). Recent research suggests that TMS can be used for both prognosis (determining
      future function) and to determine what type of rehabilitation therapy will work best after
      stroke. The purposes of this research study are to: 1) determine changes in brain activity
      during the first 6 months after stroke (to determine how the brain ""re-wires""); 2) compare
      changes in recovery of motor function with changes in brain re-wiring; 3) determine the
      ability of TMS to ""predict"" functional outcome in the first 6 months after stroke.

      The primary hypotheses are: 1) functional recovery will be correlated with TMS changes (as
      measure motor threshold (MT), motor evoked potentials (MEPs) and recruitment curves; 2)
      baseline TMS will predict future functional outcomes at 3 and 6 months.
    ",All,20 Years,80 Years
NCT01005706,Sirolimus Conversions in African-American Renal Transplant Recipients,"
      This study's focus is to compare the level effectiveness and safety of regimens involving
      Sirolimus, Cellcept and steroid to Prograf, Sirolimus and steroid in African-American
      recipients of kidney transplants.
    ",All,18 Years,N/A
NCT01005745,Lymphodepletion Plus Adoptive Cell Transfer With High Dose IL-2 in Patients With Metastatic Melanoma,"
      The overall purpose of this research study is to find a better way to treat melanoma. This
      will be a single arm exploratory trial to evaluate prospectively the feasibility of, the
      toxicities of, and the persistence of TIL which can survive in vivo.
    ",All,18 Years,N/A
NCT01005797,"Study of Panobinostat in Combination With Sorafenib in Kidney, Soft Tissue or Lung Cancers","
      The purpose of this study is to determine if a new investigational drug called Panobinostat
      is safe, tolerable and to obtain an initial assessment of efficacy, when given in combination
      with Sorafenib for the treatment of certain types of lung cancer, kidney cancer and soft
      tissue sarcoma.
    ",All,18 Years,N/A
NCT01005914,Pegaspargase and Combination Chemotherapy in Treating Patients With Newly Diagnosed Acute Lymphoblastic Leukemia,"
      RATIONALE: Drugs used in chemotherapy work in different ways to stop the growth of cancer
      cells, either by killing the cells or by stopping them from dividing. Giving more than one
      drug (combination chemotherapy) may kill more cancer cells.

      PURPOSE: This phase II trial is studying the side effects of giving pegaspargase together
      with combination chemotherapy and to see how well it works in treating patients with newly
      diagnosed acute lymphoblastic leukemia.
    ",All,18 Years,60 Years
NCT01005979,"A Phase I Trial Using Cyclophosphamide, Rituximab and Revlimid (CR2) for the Treatment of Relapsed/Refractory B-Cell Chronic Lymphocytic Leukemia (B-CLL) and Small Lymphocytic Lymphoma (SLL)","
      The purpose of this study is to determine the maximum tolerated dose (MTD), safety and
      toxicity when cyclophosphamide, rituximab and lenalidomide (Revlimid) are combined for the
      treatment of relapsed/refractory of chronic lymphocytic leukemia (CLL) and small lymphocytic
      lymphoma (SLL).
    ",All,18 Years,N/A
NCT01006005,Adherence-Suppression-Resistance Relationships for Atripla Compared to Historical Antiretroviral Regimens,"
      The study is recruiting 50 patients initiating or switching to Atripla and comparing them to
      250 individuals previously followed in a prospective study of HIV+ low income individuals
      recruited from homeless shelters, single room occupancy hotels and free meal food lines as
      part of the UCSF Reach Study. Adherence will be measured through monthly unannounced pill
      counts and electronic medication monitors.
    ",All,18 Years,N/A
NCT01006200,Factors to Obstructive Granulation Tissue Formation After Ultraflex Stenting in Benign Tracheal Narrowing,"
      This study is aimed to determine factors leading to obstructive granulation tissue formation
      after placement of Self-Expandable Metallic Stent (SEMS) in patients with benign tracheal
      diseases.
    ",All,18 Years,N/A
NCT01006330,Dysphagia in Elderly Medical Patients,"
      Dysphagia in hospitalized elders is associated with less positive outcomes in rehabilitation,
      increased likelihood of readmission, increased comorbidity and mortality, and increased
      length of hospital stay. In light of an increase in the elderly population in Denmark, the
      consequences of dysphagia, and the importance of minimizing the risk of disability and
      frailty, it is vital to emphasize safe participation of the elderly dysphagic patient in
      eating, drinking and swallowing. Danish occupational therapists have an important role in the
      dysphagia management, but no Danish evidence-based occupational therapy assessments for
      dysphagia of elderly medical patients exist. In order to oblige this lack, the objective of
      the study is to provide an assessment tool with operational definitions of dysphagia which
      includes the complexity of performance in eating, drinking and swallowing, is evidence-based,
      and guides occupational therapists in the treatment planning in a client-centred and
      purposeful manner.

      The study involves a quantitative approach, and is initiated by a translation and cultural
      adaptation of the Canadian ""The McGill Ingestive Skills Assessment"" (MISA). Hereafter, the
      psychometric qualities are tested. On basis of the data collected for the psychometrics, the
      prevalence and characteristics of dysphagia in the study population are investigated.
      Provided that the psychometric testing of the MISA reveals satisfactory levels, the effect of
      using the MISA in the treatment planning is investigated.

      It is hypothesized that:

      The Danish translation of the MISA will demonstrates satisfactory content validity,
      reliabilities, convergent validity, known-groups validity, predictive validity, criterion
      validity, high levels of sensitivity/specificity and are responsive to change.

      Dysphagia is prevalent in elderly medical patients at the time of admission to acute medical
      care and there can be found a correlation between dysphagia severity and the presence of
      comorbidity, disability, frailty, the length of hospital stay, the place of discharge and the
      number of readmissions for elderly medical patients.
    ",All,65 Years,N/A
