id,title,summary,gender,min_age,max_age
NCT00124969,Influence of Amlodipine on the Mortality of Patients With End-Stage Renal Failure,"
      Patients with end-stage renal failure have a markedly higher mortality because of
      cardiovascular events in comparison with the normal population. Disorders in the calcium
      metabolism, such as calcification of the vessel walls, occur very frequently. There are
      indications that calcium channel blockers are capable of lowering the cardiovascular
      mortality in patients with end-stage renal failure.

      It is intended to carry out a prospective, randomized, double-blind, placebo-controlled,
      multicenter study in order to find out if the calcium channel blocker amlodipine is able to
      reduce the mortality of patients with end-stage renal failure.

      The investigation will be carried out after suitable explanation and written informed
      consent in 356 patients aged between 18 and 90 years with end-stage renal failure and
      chronic haemodialysis treatment. The patients will be randomized to either treatment with
      amlodipine 10 mg/day or placebo. The occurrence of events will be documented and evaluated
      prospectively over a period of 30 months.
    ",Both,18 Years,90 Years
NCT00129233,Comparison of Valsartan With Amlodipine in Hypertensive Patients With Glucose Intolerance,"
      Various guidelines recommended angiotensin converting enzyme (ACE) inhibitors or angiotensin
      Ⅱ receptor-1 blockers (ARBs) for hypertensive patients with diabetes on the basis of the
      cardiac- and reno-protective effects of these drugs. However, these recommendations could
      not be extrapolated to Japanese patients, because Japan has been known as a country with a
      low incidence of coronary artery disease and a high incidence of cerebrovascular disease.
      Furthermore, calcium channel blockers (CCBs) also were protective against renal function as
      well as ACE inhibitors in Japanese diabetic hypertensive patients. This study will test
      whether ARBs or CCBs are superior in treating Japanese diabetic hypertensive patients.
    ",Both,30 Years,75 Years
NCT00134160,OlmeSartan and Calcium Antagonists Randomized (OSCAR) Study,"
      The purpose of this study is to investigate whether high-dose angiotensin II receptor
      blocker (ARB) monotherapy or combination therapy with ARB and calcium channel blockers is
      more effective in reducing the incidence of cardiovascular events in Japanese elderly
      high-risk hypertensive patients not adequately controlled by standard dose ARB alone.
    ",Both,65 Years,84 Years
NCT00141583,The Renin-Angiotensin System in Essential Hypertension,"
      Although ACE Inhibitors and Angiotensin Receptor Blockers are effective blood pressure
      lowering agents, the exact mechanisms by which these agents lower BP are still not fully
      understood. This study aims to compare the blood pressure and hormonal responses (plasma
      renin activity and aldosterone) to the ACE inhibitor enalapril and ARB candesartan in
      individuals with mild essential hypertension.
    ",Both,18 Years,70 Years
NCT00143195,Amlodipine vs Nitrates Study in Patients With Chronic Stable Angina,"
      The objective of study is to compare the anti-ischemic efficacy and safety profiles of once
      daily amlodipine or isosorbide-5-mononitrate in the treatment of stable asymptomatic and
      symptomatic myocardial ischemia
    ",Both,18 Years,N/A
NCT00149227,Add-on Effects of Valsartan on Morbi- Mortality (KYOTO HEART Study),"
      The KYOTO HEART Study is to assess the add-on effect of valsartan, an Angiotensin-Receptor
      Blocker, on top of the conventional treatment in high risk patients in Japan with
      hypertension in terms of the morbidity and mortality.
    ",Both,20 Years,79 Years
NCT00162344,A Study of Stress Heart Imaging in Patients With Diabetes at Risk for Coronary Disease.,"
      The study is designed to see if stress heart imaging can be used as a screening exam in
      patients with diabetes and risk factors of developing of coronary artery disease and
      experiencing future cardiac events.
    ",Both,18 Years,76 Years
NCT00166231,Understanding Pediatric Chest Pain and Other Symptoms,"
      The causes of pediatric pain are often not the same for every child. Most children who visit
      a cardiology specialist with complaints of chest or other somatic pain have no known medical
      diagnosis to explain their symptoms. These children and their families often leave with no
      explanation for the child's distress.

      This early study will ask parents and children specific questions related to the stress in
      their lives, their emotional well-being and the children's physical functioning. The
      investigators want children who experience chest and other somatic pain, and those who do
      not, to be in their study so that they can look at both groups.

      The investigators hope to use these answers to better inform cardiologists who often work
      with children with non-cardiac pain and, in turn, help them to better serve their patients.
      Ultimately, the investigators hope that the answers they get will provide answers to these
      families. They also hope to use the results of this study to put together a short screener
      for the cardiologist to give to pediatric patients with complaints of chest or other somatic
      pain to help the cardiologists better understand their patients' symptoms.
    ",Both,8 Years,18 Years
NCT00175279,A Cluster Randomized Trial to Assess the Impact of Opinion Leader Endorsed Evidence Summaries on Improving Quality of Prescribing for Patients With Chronic Cardiovascular Disease,"
      BACKGROUND: Although much has been written about the influence of local opinion leaders on
      clinical practice, there have been few controlled studies of their effect, and almost none
      have attempted to change prescribing in the community for chronic conditions such as
      congestive heart failure (CHF) or ischemic heart disease (IHD). These two conditions are
      common and there is very good evidence about how to best prevent morbidity and mortality -
      and very good evidence that quality of care is, in general, suboptimal. Practice audits have
      demonstrated that about half of eligible CHF patients are prescribed ACE inhibitors (and
      fewer still reaching appropriate target doses) and less than one-third of patients with
      established IHD are prescribed statins (with many fewer reaching recommended cholesterol
      targets). It is apparent that interventions to improve quality of prescribing are urgently
      needed.

      HYPOTHESIS: An intervention that consists of patient-specific one-page evidence summaries,
      generated and then endorsed by local opinion leaders, will be able to change prescribing
      practices of community-based primary care physicians.

      DESIGN: A single centre randomized controlled trial comparing an opinion leader intervention
      to usual care. Based on random allocation of all physicians in one large Canadian health
      region, patients with CHF or IHD (not receiving ACE inhibitors or statins, respectively)
      recruited from community pharmacies will be allocated to intervention or usual care. The
      primary outcome is improvement in prescription of proven efficacious therapies for CHF (ACE
      inhibitors) or IHD (statins) within 6 months of the intervention.
    ",Both,50 Years,N/A
NCT00185120,Treatment of High Blood Pressure Using Olmesartan With Hydrochlorothiazide Compared to an ACE Inhibitor With a Calcium Channel Blocker,"
      A comparison of 2 different combinations of high blood pressure medications to treat
      hypertension
    ",Both,18 Years,N/A
NCT00190489,"A Trial of Doxorubicin/Cyclophosphamide (AC), Docetaxel (D), and Alternating AC and D for Metastatic Breast Cancer","
      To investigate the clinical benefits of Docetaxel or alternating AC-Docetaxel in comparison
      with standard AC for metastatic breast cancer
    ",Female,20 Years,75 Years
NCT00202566,Efficacy and Safety of Ivabradine on Top of Atenolol in Stable Angina Pectoris,"
      To test whether ivabradine when given in combination with atenolol is able to improve the
      exercise tolerance of patients with stable angina pectoris
    ",Both,18 Years,75 Years
NCT00225355,Rosiglitazone Versus Placebo in Chronic Stable Angina,"
      We wish to see if the drug rosiglitazone, currently used in the treatment of type 2
      diabetes, could be used as a new treatment for angina when compared with placebo in
      overweight subjects who do not have overt diabetes. The drug will be given for 3 months and
      the subjects will be have their angina tested, by way of exercise testing, angina quality of
      life questionnaire and 24-hour ECG monitoring before and after using the drug.
    ",Both,18 Years,N/A
NCT00252421,The Nitrate and Bone Study: Effects of Nitrates on Osteoporosis,"
      Osteoporosis or ""thinning of the bones"" affects in 1 in 4 Canadian women and 1 in 8 Canadian
      men. Moreover, while the rates of osteoporosis among Canadians are stabilizing, worldwide
      the number of people afflicted with osteoporosis continues to rise. The most serious
      complication of osteoporosis is a broken bone or fracture. Fractures due to osteoporosis can
      result in long hospital stays, dependence on others, and premature death. While there are
      several medications that prevent osteoporosis they all have side effects. For example,
      postmenopausal women who take hormone replacement therapy (HRT) are at increased risk of
      breast cancer and heart disease. In addition, drugs to prevent osteoporosis are expensive
      and not available worldwide. Therefore, it is essential that researchers continue to
      identify and test new medications for the prevention of osteoporosis.

      The purpose of the research is to determine if nitrates, a group of drugs that are widely
      available, inexpensive, and commonly used to treat chest pain or angina, can prevent
      osteoporosis in women. If the researchers find that nitrates prevent osteoporosis, a widely
      available, inexpensive treatment for osteoporosis prevention that does not have any long
      term side effects would have been identified. This will improve the health of patients with
      osteoporosis worldwide.
    ",Female,50 Years,N/A
NCT00285649,Predicting Patients' Response to Spinal Manipulation,"
      The purpose of this study is to compare the clinical effectiveness of two types of
      chiropractic spinal manipulation to conservative medical care for patients at least 55 years
      old with sub-acute or chronic LBP.
    ",Both,21 Years,55 Years
NCT00337116,Intravenous Isosorbide Dinitrate Versus Sublingual Isosorbide Dinitrate for the Relief of Acute Anginal Episodes in Acute Coronary Syndrome (ACS) Patients,"
      This is a randomized, double blind, placebo-controlled study, clinical trail designed to
      evaluate the efficacy safety and superiority of intravenous boluses of isosorbide dinitrate
      for the relief of acute anginal pain episodes in acute coronary syndrome patients in
      comparison with the usual manner of S/L isosorbide dinitrate .
    ",Both,18 Years,N/A
NCT00348803,Gene Mutations in Secondary Pulmonary Hypertension,"
      As a pulmonary hypertension center, we have created a database that prospectively tracks
      patients with different forms of secondary pulmonary hypertension. Records include genetic
      analysis, and clinical and hemodynamic profiles.
    ",Both,18 Years,N/A
NCT00356707,Evaluating the Link Between Neighborhood Environments and Obesity Among African American Women,"
      African American women have higher rates of obesity than women of any other racial or ethnic
      group in the United States. Obesity can have many causes, including genetic and
      environmental factors. This study will examine how neighborhood environments influence the
      occurrence of obesity among African American women.
    ",Female,21 Years,69 Years
NCT00373828,Non-cardiac Chest Pain Evaluation and Treatment Study (CARPA) - Part 1: Diagnosis.,"
      The overall aim of the project is to evaluate diagnosis and treatment of chest pain
      originating from the musculoskeletal system. Specifically, we wish to investigate prevalence
      and character of such chest pain in a population of patients with acute chest pain, admitted
      to a university hospital based acute chest pain clinic, and undergoing evaluation of acute
      coronary syndrome (Part 1). Then, to test a manually-based treatment protocol to patients
      with diagnosed musculoskeletal chest pain in a randomized clinical trial (Part 2).

      The specific purpose of this study (Part 1) is to determine the exact number of patients
      with acute chest pain origination from the musculoskeletal system, and to describe their
      cardiac status with respect to ischemic heart disease. Further, we wish to evaluate the
      decision making process of the chiropractor.
    ",Both,18 Years,75 Years
NCT00375089,Characteristics of Prader-Willi Syndrome and Early-onset Morbid Obesity,"
      Prader-Willi syndrome (PWS) is a rare genetic disorder that affects about 1 in 14,000 people
      in the United States. As the most commonly identified genetic cause of obesity, PWS is often
      confused with Early-onset Morbid Obesity (EMO). Individuals with EMO show some signs of PWS,
      but clinically do not have PWS. The purpose of this study is to evaluate the clinical
      features and genetic basis of PWS and EMO, and to determine how these conditions affect a
      person throughout a lifetime.
    ",Both,N/A,60 Years
NCT00413712,Effectiveness of Calcium Channel Blockers and Adenosine in the Emergency Management of SVT,"
      The purpose of this study is to determine the efficacy and effectiveness of calcium channel
      blockers and adenosine in the treatment of Supraventricular Tachycardia.
    ",Both,10 Years,N/A
NCT00418392,Intrapleural Minocycline After Simple Aspiration for the Prevention of Primary Spontaneous Pneumothorax,"
      The estimated recurrence rate of primary spontaneous pneumothorax is 23-50% after the first
      episode, and the optimal treatment remains unknown. In the recently published British
      Thoracic Society (BTS) guidelines, simple aspiration is recommended as first line treatment
      for all primary pneumothoraces requiring intervention. However, the 1 year recurrence rate
      of this procedure was as high as 25-30%, making it inappropriate as a standard of care.

      Intrapleural instillation of a chemical irritant (chemical pleurodesis) is an effective way
      to shorten the duration of air leaks and reduce the rates of recurrent spontaneous
      pneumothorax in surgical and non-surgical patients. Many chemical irritants (tetracycline,
      talc, and minocycline) have been used to decrease the rate of recurrence in spontaneous
      pneumothorax. Tetracycline, which was the most commonly used irritant, is no longer
      available. Talc insufflation of the pleural cavity is safe and effective for primary
      spontaneous pneumothorax. However, it should be applied either with surgical or medical
      thoracoscopy. Minocycline, a derivative of tetracycline, is as effective as tetracycline in
      inducing pleural fibrosis in rabbits. In the previous studies, we have shown that additional
      minocycline pleurodesis is a safe and convenient procedure to decrease the rates of
      ipsilateral recurrence after thoracoscopic treatment of primary spontaneous pneumothorax. In
      the present study, additional minocycline pleurodesis will be randomly administered in
      patients with first episode of primary spontaneous pneumothorax after simple aspiration to
      test if it can reduce the rate of recurrence.
    ",Both,15 Years,40 Years
NCT00424021,Phase 2 Extension Study of Ambrisentan in Pulmonary Arterial Hypertension,"
      AMB-220-E is an international, multicenter, open-label study examining the long-term safety
      of ambrisentan (BSF 208075) in subjects who have previously completed Myogen study
      NCT00046319, ""A Phase II, Randomized, Double-Blind, Dose-Controlled, Dose-Ranging,
      Multicenter Study of BSF 208075 Evaluating Exercise Capacity in Subjects with Moderate to
      Severe Pulmonary Arterial Hypertension"".
    ",Both,18 Years,N/A
NCT00454662,Combination of OLMesartan and CCB or Low Dose Diuretics in High Risk Elderly Hypertensive Patients Study (COLM-Study),"
      The purpose of this study is to investigate which combination therapy is more effective in
      reducing the incidence of cardiovascular events in Japanese elderly high-risk hypertensive
      patients: AT1 subtype angiotensin II receptor antagonist/calcium channel blocker or AT1
      subtype angiotensin II receptor antagonist/low dose diuretic.
    ",Both,65 Years,84 Years
NCT00462241,"Treatment Study Comparing Manual Treatment or Advice in Acute, Musculoskeletal Chest Pain","
      Acute chest pain is a common cause of hospital admission. Active approaches are directed
      towards diagnosis and treatment of potentially life threatening conditions, especially acute
      coronary syndrome and coronary artery disease. However, a considerable number of patients
      may have chest pain caused by biomechanical dysfunction of muscles and joints of the chest
      wall or the cervical and thoracic spine (20%). The diagnostic approaches and treatment
      options for this group of patients are scarce and there is a lack of formal clinical studies
      and validated outcome measures addressing the effect of manual treatment approaches.

      Objective: This single blind randomized clinical trial investigates whether chiropractic
      treatment can reduce pain and improve function in a population of patients with acute,
      musculoskeletal chest pain when compared to advice directed towards promoting
      self-management.

      Methods: Among patients admitted to a chest pain clinic in a university hospital under
      suspicion of acute coronary syndrome, 120 patients with an episode of acute chest pain of
      musculoskeletal origin are included in the study. All patients have completed the chest pain
      clinic diagnostic procedures, and acute coronary syndrome and other obvious reasons for
      chest pain have been excluded. After completion of the study evaluation program, the
      patients are randomized into one of two groups: A) advice promoting self-management and
      individual instructions focusing on posture and muscle stretch; B) a course of chiropractic
      therapy of up to ten treatment sessions focusing on high velocity, low amplitude
      manipulation of the cervical and thoracic spine together with a choice of mobilisation and
      soft tissue techniques. In order to establish suitable outcome measures, two pilot studies
      were conducted. Outcome measures are pain, function, overall health, and patient-rated
      treatment effect measured at 4, 12, and 52 weeks following treatment.
    ",Both,18 Years,75 Years
NCT00479908,Blood Pressure Interaction Between Sildenafil and Sublingual Glyceryl Trinitrate (GTN) in Men With Angina,"
      The purpose of the study is to determine for how long sildenafil potentiates the blood
      pressure reduction that occurs with glyceryl trinitrate in men with angina.
    ",Male,30 Years,80 Years
NCT00486954,Lapatinib in Combination With Weekly Paclitaxel in Patients With ErbB2 Amplified Advanced Gastric Cancer,"
      EGF104578 is two-part study (Pilot part/Randomized part).Pilot part is designed to find the
      optimal (best) doses of lapatinib and paclitaxel when given together,Randomized part is
      designed to evaluate the overall survival in patients receiving lapatinib and paclitaxel
      compared to patients receiving only paclitaxel.
    ",Both,20 Years,N/A
NCT00536224,Chest Pain Observation Unit Risk Reduction Trial,"
      The purpose of this study is to determine whether a brief counseling intervention initiated
      in the chest pain observation unit has a significant impact upon the health attitudes
      (readiness to change) and cardiovascular risk-related behaviors (diet, exercise, and
      smoking) of emergency department patients.
    ",Both,30 Years,N/A
NCT00598728,Quality of Life Among Survivors of Hodgkin Lymphoma,"
      The purpose of this study is to collect information on the long-term side effects of
      treatment for Hodgkin Lymphoma. We hope to study about 500-800 survivors of Hodgkin
      Lymphoma. We plan to use the findings from this study to better understand Hodgkin Lymphoma
      survivors' health and quality of life.
    ",Both,N/A,N/A
NCT00623454,Non Cardiac Chest Pain and Benign Palpitations,"
      All Patients between 18 and 65 years are asked 6 month after investigation for chest pain or
      palpitation at Cardiological Out-patient Clinic, Molde Hospital, about if they still have
      symptoms of chest pain or palpitation. If they still have some of the symptoms they are
      invited to participate in a coping course to learn a better way to deal with their symptoms.

      The coping course consist of three sessions of cognitive behaviour therapy.
    ",Both,18 Years,65 Years
NCT00624273,Sildenafil for Treatment of Digital Ulcers in Patients With Systemic Sclerosis,"
      This is a pilot study analyzing the effect of sildenafil therapy on digital ulcers in
      systemic sclerosis. We want to analyze ulcer healing by measuring the size of digital ulcers
      and their count and analyze the effect of sildenafil on angiography.
    ",Both,18 Years,80 Years
NCT00644319,Ibuprofen or Morphine in Treating Pain in Patients Undergoing Pleurodesis for Malignant Pleural Effusion,"
      RATIONALE: Morphine and ibuprofen help lessen pain caused by pleurodesis. It is not yet
      known whether one drug is more effective than the other in lessening pleurodesis-related
      pain or whether the size of the chest drain tube affects pain.

      PURPOSE: This randomized clinical trial is studying ibuprofen to see how well it works
      compared with morphine in treating pain in patients undergoing pleurodesis for malignant
      pleural effusion.
    ",Both,18 Years,N/A
NCT00683813,Trial of a Cardiac Rehabilitation Program Delivered Remotely Through the Internet,"
      Cardiac rehabilitation programs (CRP) are a proven treatment for those with ischemic heart
      disease (IHD). These programs have been demonstrated to improve adherence to regular
      physical activity, a healthy diet and smoking cessation, as well as modify risk factors for
      IHD such as hypercholesterolemia, hypertension, obesity and type 2 diabetes. In addition,
      CRP are cost effective and can result in a 25% reduction in reoccurrence of mortality.
      Despite the known benefits of CRP, as little as 10% to 25% of eligible patients attend these
      programs. One of the main barriers to attendance is proximity to a CRP, as the majority of
      these programs are limited to hospitals in large urban areas. However, cardiovascular
      diseases do not discriminate by geography, resulting in a geographic inequity of care for
      patients living in rural, remote and smaller urban/sub-urban centres. Currently there are no
      CRP specifically designed for patients in rural and remote areas. The use of the Internet
      may present itself as a viable alternative. We have recently completed a pilot study of a
      virtual CRP (vCRP) that demonstrated significant improvements in exercise capacity and risk
      factors. This investigation will study the vCRP in a group of IHD patients who do not have
      access to hospital-based CRP.

      Hypotheses A. Participation in a 4 month Internet-based cardiac rehabilitation program will
      result in significant improvements in exercise capacity compared to usual care, in patients
      with diagnosed IHD.

      B. Participation in a 4 month Internet-based cardiac rehabilitation program will result in
      significant improvements in exercise capacity after one year compared to usual care, in
      patients with diagnosed IHD.

      Study Population Men and women over 18 years will be identified from consecutive in-patients
      of the British Columbia Provincial Heart Centre at St. Paul's Hospital in Vancouver who
      reside in either the Northern Interior or Coast Garibaldi health areas. Patients will be
      eligible if they have IHD, Internet access, no previous experience with cardiac
      rehabilitation and no physical limitations to exercise. A total of 74 patients (37 per
      group) will be recruited and randomized to either usual care, or a 4 month 'virtual' cardiac
      rehabilitation program delivered via the Internet.

      Usual Care Group Patients randomized to usual care will be provided with simple guidelines
      for safe exercising and healthy eating habits, and return to the care of their primary care
      physician. Patients will return at 4 and 16 months later for outcome assessment. There will
      be no contact between the study personnel and usual care patients for the duration of the
      study, nor will there be any attempt to control the level of patient care.

      Intervention The vCRP has been developed to mimic hospital-based CRP and includes online
      intake forms, one-on-one chat sessions with vCRP nurse, dietitian and exercise specialist,
      data collection (exercise heart rate, blood pressure, glucose- if diabetic), peer-support
      group chat sessions, ask-an-expert chat sessions, education, progress reports and online
      resources. Upon randomization to the intervention, patients will receive access to the
      website, a heart rate monitor and a blood pressure monitor and trained in their use. The
      heart rate monitors allow for exercise heart rate data to be stored and downloaded to their
      home computer and then uploaded to the vCRP webserver. The exercise data will be reviewed
      weekly. A letter to the patient's primary care physician will be sent to outline the vCRP
      intervention, the treatment algorithms to be used and indicate under what circumstances the
      vCRP nurse and/or patient may contact them with regards to their management. Patients will
      receive one-on-one counselling by the nurse, dietitian and exercise specialist via chat
      sessions at 3 to 4 week intervals. After the 4 month intervention, patients will be
      discharged into the care of their primary care physician.

      Outcomes Participants will be assessed at baseline, 4 and 16 months for risk factors and
      lifestyle behaviours. The primary outcomes will be the change in exercise capacity as
      between the two groups from baseline to 4 months, and from baseline to 16 months. Exercise
      capacity will be assessed as total time on a symptom-limited exercise stress test.
    ",Both,18 Years,N/A
NCT00705952,Group Lifestyle Intervention for People With New Onset Type 2 Diabetes.,"
      The purpose of the study is to assess whether weight loss achieved through a programme of
      intensive lifestyle management can result in enhanced production of Glucagon-Like Peptide-1
      (GLP-1) together with improvements in the release of insulin and glucagon and thus
      improvements in glycaemic control (HbA1c), in patients with new onset type 2 diabetes.

      This is a cohort study with comparisons made between assessments at baseline, after an
      initial four months of intensive intervention and after a further four months follow up
      (maintenance period). Each patient will participate in the study for 8 month. The entire
      study period will be 24 months.

      All patients with new onset type 2 diabetes (within 2 weeks of diagnosis) will be recruited
      from those referred to the Type 2 Diabetes Education Programme in the community (""FOCUS""),
      as per standard practice. The investigators will also hope to recruit direct from local GP
      surgeries who will be advised of the study. At this point, patients will be given a study
      information sheet with a contact number if they wish to participate in the study.

      Individuals who are unable to give consent, who would be unable to attend all the programme
      sessions for medical or other reasons, who are prescribed oral hypoglycaemic, antiobesity or
      any other prescription medications that may interfere with the study results or whose BMI is
      < 25, will be excluded. The investigators will also exclude those who cannot converse
      competently in English as special arrangements would need to be made for such people
      attending the programme and this would be impractical in a group setting.

      Those willing to participate will be invited for an individual appointment with the
      dietitian, during which the study structure, aims and procedures will be explained and
      consent to participate in the study will be obtained. For the first session of the
      programme, participants will be asked to attend following an overnight fast. Blood samples
      will be taken for basal measurement of glucose, HbA1c, lipids, insulin, glucagon, GLP-1,
      leptin, ghrelin and adiponectin. They will then be given a standard 75 g glucose load and
      sampling repeated at 30 mins (for peak GLP-1 levels). Baseline measurements of weight,
      height, percent body fat, waistline circumference and blood pressure will also be taken
      during this session. Following the assessment, patients will participate in the first
      session of the education programme. The full assessment will be repeated at 4 and 8 months
      intervals.

      The weight management programme will be run by the Specialist Dietitian. It will consist of
      2 phases: an initial 4 month intensive weight loss phase, followed by a 4 month weight loss
      / maintenance phase. The initial four month programme will consist of 8 group education
      sessions and at least 3 phone calls. The following 4 month programme will consist of 5 group
      sessions, at least 3 phone calls and 1 individual appointment. Each education session will
      last 60min. Before the 1st session and, at 4 month and 8 month sessions, bloods will be
      taken, as above. Before the rest of the sessions, there will be 15 minutes devoted to weight
      assessment. The programme will be based on portion control and healthy eating and will be
      supported by behavioural and cognitive change interventions. Such interventions will include
      self monitoring, stimulus control, goal setting, problem solving and relapse prevention. The
      specialists from ""Bournemouth HealthLink"" (a partnership backed by the local NHS, Council
      and University) will take part in helping participants to increase their activity levels.

      The aim is to achieve weight loss of 5% over the first 4 months with, as a minimum, weight
      maintenance or possible further reduction over the subsequent four months.
    ",Both,18 Years,N/A
NCT00736333,A Study to Evaluate Safety and Tolerability in Patients With Metastatic Breast Cancer Receiving Treatment With Caelyx (Study P04878)(COMPLETED),"
      This is a study to evaluate the safety and tolerability of Caelyx used for the treatment of
      metastatic breast cancer (MBC), focusing on infusion reaction and palmar-plantar
      erythrodysesthesia (PPE).
    ",Both,N/A,N/A
NCT00745043,Beta-Blocker in Chronic Obstructive Pulmonary Disease (COPD) Study,"
      Smoking causes both smoking related lung disease (COPD) and ischaemic heart disease. These
      are very common conditions and many patients have both diseases. Beta-blocker drugs are
      extensively used in the treatment of angina, high blood pressure and after heart attacks to
      decrease symptoms and prolong life. Beta-agonists are used in COPD to decrease
      breathlessness and improve exercise tolerance. It used to be thought that beta-blockers
      cannot be used in COPD patients as they may make the breathlessness worse, but it has now
      been established that they can be used safely. Beta-blocker drugs and beta-agonists have
      'opposite' effects on the body and the investigators do not know if they can work together
      or if they would cancel each other out. The investigators also do not know which of the
      different types of beta-blockers now available are better for COPD patients. This study will
      investigate what happens to the airways of people taking both of these drugs.
    ",Both,40 Years,N/A
