qid,docid,rel
201411,NCT00243152,0
201411,NCT00322621,0
201411,NCT00382421,1
201411,NCT00413855,0
201411,NCT00760903,0
201411,NCT00769275,0
201411,NCT00929773,0
201411,NCT00944333,1
201411,NCT01184846,0
201411,NCT01188993,0
201411,NCT01200628,0
201411,NCT01219023,0
201411,NCT01296789,1
201411,NCT01464671,1
201411,NCT01526382,1
201411,NCT01533519,0
201411,NCT01539161,0
201411,NCT01558206,2
201411,NCT01665521,0
201411,NCT01672697,0
201411,NCT01723137,2
201411,NCT01792336,0
201411,NCT01827007,0
201411,NCT01839786,0
201411,NCT01890044,0
201411,NCT01973907,0
201411,NCT01997047,0
201411,NCT02011477,0
201411,NCT02072538,0
201411,NCT02099071,0
201411,NCT02104050,0
201411,NCT02168998,0
201411,NCT02177188,0
201411,NCT02214030,1
201411,NCT02258243,0
201411,NCT02302534,0
201411,NCT02336542,0
201411,NCT02353793,0
201411,NCT02481076,0
201411,NCT02502513,0
201411,NCT02517944,0
201411,NCT02623556,0
201412,NCT00011102,0
201412,NCT00111735,0
201412,NCT00124384,0
201412,NCT00194259,0
201412,NCT00261898,0
201412,NCT00264901,0
201412,NCT00271427,2
201412,NCT00360074,1
201412,NCT00497575,2
201412,NCT00565890,0
201412,NCT00593736,0
201412,NCT00606840,2
201412,NCT00646451,0
201412,NCT00686426,2
201412,NCT00715572,2
201412,NCT00759993,0
201412,NCT00812162,0
201412,NCT00819624,0
201412,NCT00915642,0
201412,NCT00948610,0
201412,NCT01041261,0
201412,NCT01131429,0
201412,NCT01197183,2
201412,NCT01221935,0
201412,NCT01260532,0
201412,NCT01280292,0
201412,NCT01307618,0
201412,NCT01319370,0
201412,NCT01551498,1
201412,NCT01574859,0
201412,NCT01576705,0
201412,NCT01739972,0
201412,NCT01835236,0
201412,NCT01840332,1
201412,NCT01848171,0
201412,NCT01874704,0
201412,NCT01986140,0
201412,NCT02015936,0
201412,NCT02027077,0
201412,NCT02086799,0
201412,NCT02094079,0
201412,NCT02126683,0
201412,NCT02190214,0
201412,NCT02201069,0
201412,NCT02290405,0
201412,NCT02316418,0
201412,NCT02379728,0
201412,NCT02399423,0
201412,NCT02491567,1
201412,NCT02548715,0
201412,NCT02575001,0
201412,NCT02597582,0
201412,NCT02627937,0
201413,NCT00067691,0
201413,NCT00163709,2
201413,NCT00302601,1
201413,NCT00314548,0
201413,NCT00318071,0
201413,NCT00341848,0
201413,NCT00356551,0
201413,NCT00522977,0
201413,NCT00573053,0
201413,NCT00692198,0
201413,NCT00712998,0
201413,NCT00782912,1
201413,NCT00839124,0
201413,NCT00848731,1
201413,NCT00974337,0
201413,NCT01004939,0
201413,NCT01095406,1
201413,NCT01097928,1
201413,NCT01098851,0
201413,NCT01232387,0
201413,NCT01262742,0
201413,NCT01274637,0
201413,NCT01321788,0
201413,NCT01428817,0
201413,NCT01463202,0
201413,NCT01468194,0
201413,NCT01498094,0
201413,NCT01535248,0
201413,NCT01566058,1
201413,NCT01620723,0
201413,NCT01621685,0
201413,NCT01630655,0
201413,NCT01684592,0
201413,NCT01689961,0
201413,NCT01692821,1
201413,NCT01787773,1
201413,NCT01828697,0
201413,NCT01858129,1
201413,NCT01870830,0
201413,NCT01935141,2
201413,NCT01959009,0
201413,NCT01991886,0
201413,NCT02010840,0
201413,NCT02043223,0
201413,NCT02094547,0
201413,NCT02150616,0
201413,NCT02210702,0
201413,NCT02221895,1
201413,NCT02231398,0
201413,NCT02258958,0
201413,NCT02264769,1
201413,NCT02307201,0
201413,NCT02309489,0
201413,NCT02372461,0
201413,NCT02399774,0
201413,NCT02447731,0
201413,NCT02449928,0
201413,NCT02458625,1
201413,NCT02523586,1
201413,NCT02526433,2
201413,NCT02600260,0
201413,NCT02615834,0
201413,NCT02616991,1
201414,NCT00006196,0
201414,NCT00094952,0
201414,NCT00182884,0
201414,NCT00189046,0
201414,NCT00302692,1
201414,NCT00419874,2
201414,NCT00424736,0
201414,NCT00450047,0
201414,NCT00482001,0
201414,NCT00493714,0
201414,NCT00512655,0
201414,NCT00613886,0
201414,NCT00760734,0
201414,NCT00906711,0
201414,NCT00928915,0
201414,NCT00928941,0
201414,NCT01075035,2
201414,NCT01162343,0
201414,NCT01182961,0
201414,NCT01196299,2
201414,NCT01199276,0
201414,NCT01263067,0
201414,NCT01316965,0
201414,NCT01331512,0
201414,NCT01392820,0
201414,NCT01397643,0
201414,NCT01470040,0
201414,NCT01564303,0
201414,NCT01574950,0
201414,NCT01619293,2
201414,NCT01624545,2
201414,NCT01633593,0
201414,NCT01674140,0
201414,NCT01774240,0
201414,NCT01804426,0
201414,NCT01836848,0
201414,NCT01862952,0
201414,NCT01869855,1
201414,NCT01922115,0
201414,NCT01947959,0
201414,NCT01991405,0
201414,NCT02028260,0
201414,NCT02035436,0
201414,NCT02039999,0
201414,NCT02051270,0
201414,NCT02086981,2
201414,NCT02120664,0
201414,NCT02131181,0
201414,NCT02172625,0
201414,NCT02199093,0
201414,NCT02213380,0
201414,NCT02227225,0
201414,NCT02237703,0
201414,NCT02266563,0
201414,NCT02267538,0
201414,NCT02323984,0
201414,NCT02355483,0
201414,NCT02366299,0
201414,NCT02394418,0
201414,NCT02404181,0
201414,NCT02465307,1
201414,NCT02477007,0
201414,NCT02505061,0
201414,NCT02513316,0
201414,NCT02518646,1
201414,NCT02527499,0
201414,NCT02531542,1
201414,NCT02558777,0
201414,NCT02564939,0
201414,NCT02577731,0
201414,NCT02591043,0
201414,NCT02603731,0
201414,NCT02631304,0
201415,NCT00003702,1
201415,NCT00044876,0
201415,NCT00150644,1
201415,NCT00156208,0
201415,NCT00166790,2
201415,NCT00180739,1
201415,NCT00190918,2
201415,NCT00237965,0
201415,NCT00248144,0
201415,NCT00277680,2
201415,NCT00288938,0
201415,NCT00340288,1
201415,NCT00361036,0
201416,NCT00001252,2
201416,NCT00001552,1
201416,NCT00001986,1
201416,NCT00061139,0
201416,NCT00080366,0
201416,NCT00102596,0
201416,NCT00393926,0
201416,NCT00432666,0
201416,NCT00462449,0
201416,NCT00565201,0
201416,NCT00597701,0
201416,NCT00656097,0
201416,NCT00703521,0
201416,NCT00740090,0
201416,NCT00906971,0
201416,NCT00948272,0
201416,NCT00955838,0
201416,NCT01025726,1
201416,NCT01044199,0
201416,NCT01047839,0
201416,NCT01060748,0
201416,NCT01075269,0
201416,NCT01081275,0
201416,NCT01228383,0
201416,NCT01281475,0
201416,NCT01286493,1
201416,NCT01373879,0
201416,NCT01387074,0
201416,NCT01388400,0
201416,NCT01466387,0
201416,NCT01603875,0
201416,NCT01635647,0
201416,NCT01683838,0
201416,NCT01767480,0
201416,NCT01827917,0
201416,NCT01930357,0
201416,NCT01932463,0
201416,NCT01936298,0
201416,NCT01949909,0
201416,NCT02043145,0
201416,NCT02074150,0
201416,NCT02122159,0
201416,NCT02177032,0
201416,NCT02199015,0
201416,NCT02238756,1
201416,NCT02241135,0
201416,NCT02339896,0
201416,NCT02359253,0
201416,NCT02359812,0
201416,NCT02374814,1
201416,NCT02418858,0
201416,NCT02420106,0
201416,NCT02427854,0
201416,NCT02491541,0
201416,NCT02547727,0
201416,NCT02552290,0
201416,NCT02564471,0
201416,NCT02596659,0
201417,NCT00006319,2
201417,NCT00138346,1
201417,NCT00263237,1
201417,NCT00266513,1
201417,NCT00280514,1
201417,NCT00304135,0
201417,NCT00435032,0
201417,NCT00520494,0
201417,NCT00526188,0
201417,NCT00630513,1
201417,NCT00641992,0
201417,NCT00673374,0
201417,NCT00677989,0
201417,NCT00722709,0
201417,NCT00886210,0
201417,NCT00935779,0
201417,NCT01009450,1
201417,NCT01030211,0
201417,NCT01068288,0
201417,NCT01147640,1
201417,NCT01206868,0
201417,NCT01226394,0
201417,NCT01235546,0
201417,NCT01310361,0
201417,NCT01315795,0
201417,NCT01329458,0
201417,NCT01410526,0
201417,NCT01412593,0
201417,NCT01421901,0
201417,NCT01487486,0
201417,NCT01512277,0
201417,NCT01627119,0
201417,NCT01745731,1
201417,NCT01849354,0
201417,NCT01851460,0
201417,NCT02027402,0
201417,NCT02032914,1
201417,NCT02048319,0
201417,NCT02085564,0
201417,NCT02140034,0
201417,NCT02261584,0
201417,NCT02297659,2
201417,NCT02303366,0
201417,NCT02328352,0
201417,NCT02380560,0
201417,NCT02415010,0
201417,NCT02417740,1
201417,NCT02463877,0
201417,NCT02556359,1
201417,NCT02585141,0
201418,NCT00001676,0
201418,NCT00004496,0
201418,NCT00004696,1
201418,NCT00006137,0
201418,NCT00027417,0
201418,NCT00226369,0
201418,NCT00231322,0
201418,NCT00232401,0
201418,NCT00298454,1
201418,NCT00313807,0
201418,NCT00362869,0
201418,NCT00539292,0
201418,NCT00549107,1
201418,NCT00555321,0
201418,NCT00556491,0
201418,NCT00557219,2
201418,NCT00572715,1
201418,NCT00577525,1
201418,NCT00624637,0
201418,NCT00738283,0
201418,NCT00747864,1
201418,NCT00770705,0
201418,NCT00774137,1
201418,NCT00776646,0
201418,NCT00778349,0
201418,NCT00821522,1
201418,NCT00908037,0
201418,NCT00934843,0
201418,NCT00952263,0
201418,NCT00974337,1
201418,NCT01062828,0
201418,NCT01084980,0
201418,NCT01142115,0
201418,NCT01143246,0
201418,NCT01156428,0
201418,NCT01219998,1
201418,NCT01233869,0
201418,NCT01243996,0
201418,NCT01260259,0
201418,NCT01260883,2
201418,NCT01309477,0
201418,NCT01569698,1
201418,NCT01641289,0
201418,NCT01700231,0
201418,NCT01795638,0
201418,NCT01869933,0
201418,NCT01870011,0
201418,NCT01918618,0
201418,NCT01973088,0
201418,NCT02016053,0
201418,NCT02046135,0
201418,NCT02081235,0
201418,NCT02081261,0
201418,NCT02081274,0
201418,NCT02147470,0
201418,NCT02195713,0
201418,NCT02213757,0
201418,NCT02233010,0
201418,NCT02276170,0
201418,NCT02282930,1
201418,NCT02306642,0
201418,NCT02311530,0
201418,NCT02312115,0
201418,NCT02313636,0
201418,NCT02338895,0
201418,NCT02361736,0
201418,NCT02415049,0
201418,NCT02443389,0
201418,NCT02489669,0
201418,NCT02495220,0
201418,NCT02495909,0
201418,NCT02531412,0
201418,NCT02560584,0
201418,NCT02599155,1
20142,NCT00000932,0
20142,NCT00086879,0
20142,NCT00094887,0
20142,NCT00095316,0
20142,NCT00096772,0
20142,NCT00132951,0
20142,NCT00161772,0
20142,NCT00161798,0
20142,NCT00161824,0
20142,NCT00161863,0
20142,NCT00161967,0
20142,NCT00163540,0
20142,NCT00163618,0
20142,NCT00237016,1
20142,NCT00311441,0
20142,NCT00385632,0
20142,NCT00386035,0
20142,NCT00432003,0
20142,NCT00455468,0
20142,NCT00460486,0
20142,NCT00498654,0
20142,NCT00503529,0
20142,NCT00507871,0
20142,NCT00513500,0
20142,NCT00617344,0
20142,NCT00680836,0
20142,NCT00694655,0
20142,NCT00711399,2
20142,NCT00740155,0
20142,NCT00840801,0
20142,NCT00851487,0
20142,NCT00894686,0
20142,NCT01017081,2
20142,NCT01070732,0
20142,NCT01075204,0
20142,NCT01087892,0
20142,NCT01099943,1
20142,NCT01147445,0
20142,NCT01177657,0
20142,NCT01201252,0
20142,NCT01202201,0
20142,NCT01241201,0
20142,NCT01253967,0
20142,NCT01253980,1
20142,NCT01269554,1
20142,NCT01359020,0
20142,NCT01521403,0
20142,NCT01589926,0
20142,NCT01627327,0
20142,NCT01663155,0
20142,NCT01670149,0
20142,NCT01707485,2
20142,NCT01739673,0
20142,NCT02052934,0
20142,NCT02139163,0
20142,NCT02269761,2
20142,NCT02380352,2
20142,NCT02383680,0
20142,NCT02391909,0
20142,NCT02441699,0
20142,NCT02618655,1
20142,NCT02625129,0
201421,NCT00001789,1
201421,NCT00005436,1
201421,NCT00006055,2
201421,NCT00008749,2
201421,NCT00036491,1
201421,NCT00065806,2
201421,NCT00071175,2
201421,NCT00071487,1
201421,NCT00074373,0
201421,NCT00119678,1
201421,NCT00125307,2
201421,NCT00172666,2
201421,NCT00181298,1
201421,NCT00215800,1
201421,NCT00222183,1
201421,NCT00230035,1
201421,NCT00275899,2
201421,NCT00282347,1
201421,NCT00297284,1
201421,NCT00342329,1
201421,NCT00343187,0
201421,NCT00364728,2
201421,NCT00371501,2
201421,NCT00392093,0
201421,NCT00413361,1
201421,NCT00430677,1
201421,NCT00470522,1
201421,NCT00504244,1
201421,NCT00512694,1
201421,NCT00539799,1
201421,NCT00581763,2
201421,NCT00582465,2
201421,NCT00611663,1
201421,NCT00637819,2
201421,NCT00731302,1
201421,NCT00760669,0
201421,NCT00779194,1
201421,NCT00866229,1
201421,NCT00908037,0
201421,NCT00965809,0
201421,NCT00982670,2
201421,NCT00997100,1
201421,NCT01018238,1
201421,NCT01031797,1
201421,NCT01076101,1
201421,NCT01101802,1
201421,NCT01176643,2
201421,NCT01187927,2
201421,NCT01230827,0
201421,NCT01266915,2
201421,NCT01276782,0
201421,NCT01330368,2
201421,NCT01381536,1
201421,NCT01413100,1
201421,NCT01413230,2
201421,NCT01421316,0
201421,NCT01440231,1
201421,NCT01512277,0
201421,NCT01520155,2
201421,NCT01549184,2
201421,NCT01551069,0
201421,NCT01597622,0
201421,NCT01632241,1
201421,NCT01649765,0
201421,NCT01689025,2
201421,NCT01689350,2
201421,NCT01705977,1
201421,NCT01729455,1
201421,NCT01784523,1
201421,NCT01923415,2
201421,NCT01924000,0
201421,NCT01931150,0
201421,NCT01946880,1
201421,NCT01950780,1
201421,NCT01992666,1
201421,NCT02006784,0
201421,NCT02034344,2
201421,NCT02074020,0
201421,NCT02080195,1
201421,NCT02119156,1
201421,NCT02176148,0
201421,NCT02239731,0
201421,NCT02260934,0
201421,NCT02284984,1
201421,NCT02444728,0
201421,NCT02455089,0
201421,NCT02477254,1
201421,NCT02530944,2
201421,NCT02554019,1
201421,NCT02558517,0
201421,NCT02591355,0
201421,NCT02633163,1
201422,NCT00172822,1
201422,NCT00236912,2
201422,NCT00674726,2
201422,NCT00677989,0
201422,NCT00723788,2
201422,NCT00908804,2
201422,NCT00913445,0
201422,NCT01022567,0
201422,NCT01024439,0
201422,NCT01027455,0
201422,NCT01068288,0
201422,NCT01096927,2
201422,NCT01115153,1
201422,NCT01192620,2
201422,NCT01610193,0
201422,NCT01678365,0
201422,NCT01698099,1
201422,NCT01718171,2
201422,NCT01825863,0
201422,NCT01925014,1
201422,NCT01953289,2
201422,NCT01979029,0
201422,NCT02004470,0
201422,NCT02017951,1
201422,NCT02018016,1
201422,NCT02029781,0
201422,NCT02047786,0
201422,NCT02134652,0
201422,NCT02137603,1
201422,NCT02194140,0
201422,NCT02271932,1
201422,NCT02375529,0
201422,NCT02439593,0
201422,NCT02447224,2
201422,NCT02469935,0
201422,NCT02507674,2
201422,NCT02535962,0
201422,NCT02574364,2
201422,NCT02624089,1
201422,NCT02633735,2
201423,NCT00018408,1
201423,NCT00084266,0
201423,NCT00108823,1
201423,NCT00116584,0
201423,NCT00170222,1
201423,NCT00181272,1
201423,NCT00181285,1
201423,NCT00190437,2
201423,NCT00263380,2
201423,NCT00274222,2
201423,NCT00440687,1
201423,NCT00441649,0
201423,NCT00455468,0
201423,NCT00476736,1
201423,NCT00512954,1
201423,NCT00595114,1
201423,NCT00605007,2
201423,NCT00628225,1
201423,NCT00774176,1
201423,NCT00788645,1
201423,NCT00791505,1
201423,NCT00807469,1
201423,NCT00839189,1
201423,NCT00860938,1
201423,NCT00883701,1
201423,NCT00893009,1
201423,NCT00974064,0
201423,NCT00981851,1
201423,NCT00985244,1
201423,NCT01091493,1
201423,NCT01213693,1
201423,NCT01232140,1
201423,NCT01248507,1
201423,NCT01252225,0
201423,NCT01254032,1
201423,NCT01296477,0
201423,NCT01297790,1
201423,NCT01314807,1
201423,NCT01337336,1
201423,NCT01344005,0
201423,NCT01381367,1
201423,NCT01395875,1
201423,NCT01396798,0
201423,NCT01431911,1
201423,NCT01460082,1
201423,NCT01589926,0
201423,NCT01621685,0
201423,NCT01694069,0
201423,NCT01701869,1
201423,NCT01710488,1
201423,NCT01742338,1
201423,NCT01798420,1
201423,NCT01801657,0
201423,NCT01877707,0
201423,NCT01892488,1
201423,NCT01950936,1
201423,NCT01997047,0
201423,NCT02092675,0
201423,NCT02136875,1
201423,NCT02181023,1
201423,NCT02209974,1
201423,NCT02219360,2
201423,NCT02220387,1
201423,NCT02264483,1
201423,NCT02269644,1
201423,NCT02282436,1
201423,NCT02284295,1
201423,NCT02299375,1
201423,NCT02333812,2
201423,NCT02386735,1
201423,NCT02490358,1
201423,NCT02534766,2
201423,NCT02605122,0
201423,NCT02619903,1
201423,NCT02633033,0
201424,NCT00115128,0
201424,NCT00222651,0
201424,NCT00228111,0
201424,NCT00344149,0
201424,NCT00424736,0
201424,NCT00440830,0
201424,NCT00587132,0
201424,NCT00625053,0
201424,NCT00625092,0
201424,NCT00630513,0
201424,NCT00726544,0
201424,NCT00754806,0
201424,NCT00769873,0
201424,NCT00775528,0
201424,NCT00778362,0
201424,NCT00870766,0
201424,NCT00950625,0
201424,NCT00965744,0
201424,NCT00970515,0
201424,NCT00997633,0
201424,NCT01013428,0
201424,NCT01044173,0
201424,NCT01074112,0
201424,NCT01103999,0
201424,NCT01113645,0
201424,NCT01196715,0
201424,NCT01265004,0
201424,NCT01276561,2
201424,NCT01279369,0
201424,NCT01297725,0
201424,NCT01322828,0
201424,NCT01376466,0
201424,NCT01387828,0
201424,NCT01412684,0
201424,NCT01441492,0
201424,NCT01451931,0
201424,NCT01518816,0
201424,NCT01594385,0
201424,NCT01632774,0
201424,NCT01762761,0
201424,NCT01771861,1
201424,NCT01816256,0
201424,NCT01828749,0
201424,NCT01852773,0
201424,NCT01869049,0
201424,NCT01887028,0
201424,NCT01895127,0
201424,NCT01911702,2
201424,NCT01944397,0
201424,NCT02029339,0
201424,NCT02073890,0
201424,NCT02140710,0
201424,NCT02149472,0
201424,NCT02198885,0
201424,NCT02217956,0
201424,NCT02229695,2
201424,NCT02232191,2
201424,NCT02233569,0
201424,NCT02269878,0
201424,NCT02302664,0
201424,NCT02310854,0
201424,NCT02331134,0
201424,NCT02376192,0
201424,NCT02378311,0
201424,NCT02399150,2
201424,NCT02494232,0
201424,NCT02505347,0
201424,NCT02513316,0
201424,NCT02527031,0
201424,NCT02584777,0
201424,NCT02624089,0
201426,NCT00082563,0
201426,NCT00132535,0
201426,NCT00132561,0
201426,NCT00144716,1
201426,NCT00164216,0
201426,NCT00233337,0
201426,NCT00258024,0
201426,NCT00294580,0
201426,NCT00373048,1
201426,NCT00373607,0
201426,NCT00442377,0
201426,NCT00494416,0
201426,NCT00497471,1
201426,NCT00589329,0
201426,NCT00641823,0
201426,NCT00730366,0
201426,NCT00970879,0
201426,NCT00984256,0
201426,NCT00984763,0
201426,NCT01078779,0
201426,NCT01218893,0
201426,NCT01236612,0
201426,NCT01422954,0
201426,NCT01546961,0
201426,NCT01557803,0
201426,NCT01728701,0
201426,NCT01729559,0
201426,NCT01746199,0
201426,NCT02080026,0
201426,NCT02084602,0
201426,NCT02098590,0
201426,NCT02498301,0
201426,NCT02511054,0
201426,NCT02557425,1
201426,NCT02564471,0
201427,NCT00026468,1
201427,NCT00055848,0
201427,NCT00140894,2
201427,NCT00224679,1
201427,NCT00253812,0
201427,NCT00319007,0
201427,NCT00485069,0
201427,NCT00525655,2
201427,NCT00586053,0
201427,NCT00641147,0
201427,NCT00663819,0
201427,NCT00685568,1
201427,NCT00728026,2
201427,NCT00748449,1
201427,NCT00770991,1
201427,NCT00808743,1
201427,NCT00823836,0
201427,NCT00843375,0
201427,NCT00900016,0
201427,NCT00905710,0
201427,NCT01173250,0
201427,NCT01187901,2
201427,NCT01245816,0
201427,NCT01422577,0
201427,NCT01483144,2
201427,NCT01495806,0
201427,NCT01647776,0
201427,NCT01713881,2
201427,NCT01722149,0
201427,NCT01725490,2
201427,NCT01729416,0
201427,NCT01737567,0
201427,NCT01761279,2
201427,NCT01767870,0
201427,NCT01960348,1
201427,NCT02016326,0
201427,NCT02081742,0
201427,NCT02113202,1
201427,NCT02470416,0
201427,NCT02521727,0
201427,NCT02538406,2
201429,NCT00000402,0
201429,NCT00000430,0
201429,NCT00001720,0
201429,NCT00001951,0
201429,NCT00010686,0
201429,NCT00010712,1
201429,NCT00011323,0
201429,NCT00021827,1
201429,NCT00073190,1
201429,NCT00092053,0
201429,NCT00145080,1
201429,NCT00170339,0
201429,NCT00224991,0
201429,NCT00226031,0
201429,NCT00273260,0
201429,NCT00280943,0
201429,NCT00301353,1
201429,NCT00303485,0
201429,NCT00327847,1
201429,NCT00347737,0
201429,NCT00376662,0
201429,NCT00386022,0
201429,NCT00432692,0
201429,NCT00540267,0
201429,NCT00545779,0
201429,NCT00575250,0
201429,NCT00578981,1
201429,NCT00609830,0
201429,NCT00698984,0
201429,NCT00703417,2
201429,NCT00762775,2
201429,NCT00787904,0
201429,NCT00846638,1
201429,NCT00860964,0
201429,NCT00982371,0
201429,NCT01035177,0
201429,NCT01128257,0
201429,NCT01141972,0
201429,NCT01152580,1
201429,NCT01206491,2
201429,NCT01227369,0
201429,NCT01232647,0
201429,NCT01314807,0
201429,NCT01341067,1
201429,NCT01360424,0
201429,NCT01440803,0
201429,NCT01452243,0
201429,NCT01512446,0
201429,NCT01607775,0
201429,NCT01677637,2
201429,NCT01698463,0
201429,NCT01821885,1
201429,NCT01846533,1
201429,NCT01854086,0
201429,NCT01870557,1
201429,NCT01928134,0
201429,NCT01934400,0
201429,NCT01935232,1
201429,NCT01978834,2
201429,NCT01998737,2
201429,NCT02066480,0
201429,NCT02115711,1
201429,NCT02164552,0
201429,NCT02184962,1
201429,NCT02273128,0
201429,NCT02347865,0
201429,NCT02422069,2
201429,NCT02472782,0
201429,NCT02534714,0
201429,NCT02551315,2
201429,NCT02594592,2
20143,NCT00001776,1
20143,NCT00001777,0
20143,NCT00003562,1
20143,NCT00003859,0
20143,NCT00005666,0
20143,NCT00006087,0
20143,NCT00024908,1
20143,NCT00047801,1
20143,NCT00049543,0
20143,NCT00088569,0
20143,NCT00124761,2
20143,NCT00128986,0
20143,NCT00172575,1
20143,NCT00181272,0
20143,NCT00188279,0
20143,NCT00188435,0
20143,NCT00193765,0
20143,NCT00202176,0
20143,NCT00303901,1
20143,NCT00339066,0
20143,NCT00382707,0
20143,NCT00423332,0
20143,NCT00466947,0
20143,NCT00517959,0
20143,NCT00578084,2
20143,NCT00579852,1
20143,NCT00591838,0
20143,NCT00613041,0
20143,NCT00629460,0
20143,NCT00633035,2
20143,NCT00643318,0
20143,NCT00757120,0
20143,NCT00839488,0
20143,NCT00852644,0
20143,NCT00894569,0
20143,NCT00897650,2
20143,NCT00907543,0
20143,NCT00918320,2
20143,NCT00963651,2
20143,NCT00992966,0
20143,NCT01028417,0
20143,NCT01085864,1
20143,NCT01109147,0
20143,NCT01141842,1
20143,NCT01149187,1
20143,NCT01152463,1
20143,NCT01152788,0
20143,NCT01201824,1
20143,NCT01221493,1
